check,error,tolerance,passed
MAT_CSV_1_DIRECT,9.367506770274758e-17,1e-13,True
MAT_CSV_1_LUT,9.020562075079397e-17,1e-13,True
MAT_CSV_1_LTI_EXACT,8.153200337090993e-17,1e-13,True
MAT_CSV_1_SCHEDULED_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_1_QS,5.0306980803327406e-17,1e-13,True
MAT_CSV_2_DIRECT,9.194034422677078e-17,1e-13,True
MAT_CSV_2_LUT,9.367506770274758e-17,1e-13,True
MAT_CSV_2_LTI_EXACT,9.367506770274758e-17,1e-13,True
MAT_CSV_2_SCHEDULED_EXACT,9.194034422677078e-17,1e-13,True
MAT_CSV_2_QS,5.0306980803327406e-17,1e-13,True
MAT_CSV_3_DIRECT,9.367506770274758e-17,1e-13,True
MAT_CSV_3_LUT,9.540979117872439e-17,1e-13,True
MAT_CSV_3_LTI_EXACT,9.367506770274758e-17,1e-13,True
MAT_CSV_3_SCHEDULED_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_3_QS,5.0306980803327406e-17,1e-13,True
MAT_CSV_4_DIRECT,9.540979117872439e-17,1e-13,True
MAT_CSV_4_LUT,9.367506770274758e-17,1e-13,True
MAT_CSV_4_LTI_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_4_SCHEDULED_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_4_QS,5.0306980803327406e-17,1e-13,True
MAT_CSV_5_DIRECT,9.367506770274758e-17,1e-13,True
MAT_CSV_5_LUT,9.540979117872439e-17,1e-13,True
MAT_CSV_5_LTI_EXACT,9.367506770274758e-17,1e-13,True
MAT_CSV_5_SCHEDULED_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_5_QS,5.0306980803327406e-17,1e-13,True
MAT_CSV_6_DIRECT,9.540979117872439e-17,1e-13,True
MAT_CSV_6_LUT,9.540979117872439e-17,1e-13,True
MAT_CSV_6_LTI_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_6_SCHEDULED_EXACT,9.540979117872439e-17,1e-13,True
MAT_CSV_6_QS,5.0306980803327406e-17,1e-13,True
MAT_CSV_7_DIRECT,9.540979117872439e-17,1e-13,True
MAT_CSV_7_LUT,8.500145032286355e-17,1e-13,True
MAT_CSV_7_LTI_EXACT,9.367506770274758e-17,1e-13,True
MAT_CSV_7_SCHEDULED_EXACT,9.020562075079397e-17,1e-13,True
MAT_CSV_7_QS,1.734723475976807e-17,1e-13,True
MAT_CSV_8_DIRECT,9.367506770274758e-17,1e-13,True
MAT_CSV_8_LUT,8.500145032286355e-17,1e-13,True
MAT_CSV_8_LTI_EXACT,9.020562075079397e-17,1e-13,True
MAT_CSV_8_SCHEDULED_EXACT,9.194034422677078e-17,1e-13,True
MAT_CSV_8_QS,1.734723475976807e-17,1e-13,True
MAT_CSV_9_DIRECT,9.540979117872439e-17,1e-13,True
MAT_CSV_9_LUT,8.500145032286355e-17,1e-13,True
MAT_CSV_9_LTI_EXACT,9.367506770274758e-17,1e-13,True
MAT_CSV_9_SCHEDULED_EXACT,9.020562075079397e-17,1e-13,True
MAT_CSV_9_QS,1.734723475976807e-17,1e-13,True
MAT_CSV_10_DIRECT,9.367506770274758e-17,1e-13,True
MAT_CSV_10_LUT,8.500145032286355e-17,1e-13,True
MAT_CSV_10_LTI_EXACT,9.020562075079397e-17,1e-13,True
MAT_CSV_10_SCHEDULED_EXACT,9.194034422677078e-17,1e-13,True
MAT_CSV_10_QS,1.734723475976807e-17,1e-13,True
MAT_CSV_11_DIRECT,9.540979117872439e-17,1e-13,True
MAT_CSV_11_LUT,8.500145032286355e-17,1e-13,True
MAT_CSV_11_LTI_EXACT,9.367506770274758e-17,1e-13,True
MAT_CSV_11_SCHEDULED_EXACT,9.020562075079397e-17,1e-13,True
MAT_CSV_11_QS,1.734723475976807e-17,1e-13,True
MAT_CSV_12_DIRECT,9.367506770274758e-17,1e-13,True
MAT_CSV_12_LUT,8.500145032286355e-17,1e-13,True
MAT_CSV_12_LTI_EXACT,9.020562075079397e-17,1e-13,True
MAT_CSV_12_SCHEDULED_EXACT,9.194034422677078e-17,1e-13,True
MAT_CSV_12_QS,1.734723475976807e-17,1e-13,True
MAT_CSV_13_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_13_LUT,4.85722573273506e-17,1e-13,True
MAT_CSV_13_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_13_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_13_QS,8.673617379884035e-18,1e-13,True
MAT_CSV_14_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_14_LUT,5.0306980803327406e-17,1e-13,True
MAT_CSV_14_LTI_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_14_SCHEDULED_EXACT,5.0306980803327406e-17,1e-13,True
MAT_CSV_14_QS,8.673617379884035e-18,1e-13,True
MAT_CSV_15_DIRECT,5.0306980803327406e-17,1e-13,True
MAT_CSV_15_LUT,5.0306980803327406e-17,1e-13,True
